Dataset,Median,StandardError
tracked_...nd2_crop,0.03780210723380416,0.003180843296489169
tracked_...nd2_crop,0.043702549712151456,0.003827139026468795
tracked_...nd2_crop,0.04373701144358471,0.003103947893053987
tracked_...nd2_crop,0.028297487952957136,0.0027146821951118355
tracked_...nd2_crop,0.06633971828772306,0.005508178361265826
tracked_...nd2_crop,0.05152141711678047,0.003547766638644542
tracked_...nd2_crop,0.03235166906020363,0.003312411266987251
tracked_...nd2_crop,0.07690148413057368,0.005656529306423407
tracked_...nd2_crop,0.015487139887158448,0.001703832934276968
tracked_...nd2_crop,0.054167493012163864,0.00431914873379044
tracked_...nd2_crop,0.05344619557286985,0.0037289131582735825
